	datetime	site_id	mlid	rlf	1-day-predict	5-day-predict
148	2021-07-03	RL_IJLS@	A6NE			
149	2021-07-03	RL_IJLSD	A5EL	False	False	False
150	2021-07-03	RL_IJNGJ	A9RL	False	False	False
151	2021-07-03	RL_IJNNL	A6BT	False	False	False
152	2021-07-03	RL_IJNNL	A9PY	False	False	False
153	2021-07-03	RL_IJOCW	A8GZ	False	False	False
154	2021-07-03	RL_IJOCW	A9LR	False	False	False
155	2021-07-03	RL_IJPXH	A6EU	False	False	False
156	2021-07-03	RL_IJT@R	A7AM	False	False	False
157	2021-07-03	RL_IJTFO	A8LA	False	False	False
158	2021-07-03	RL_IJTKL	A7MA	False	False	False
159	2021-07-03	RL_IJUCH	A8AL	False	False	False
160	2021-07-03	RL_IJXE>	A5FM			
161	2021-07-03	RL_IJXMA	A9KU			
162	2021-07-03	RL_ILSRK	A5UL	False	False	False
163	2021-07-03	RL_ILSRK	Z8AF	False	False	False
164	2021-07-03	RL_IOSGI	A8PB	False	False	False
165	2021-07-03	RL_J7DG?	A4XC	False	False	False
166	2021-07-03	RL_J7H?V	A4KI	False	False	False
167	2021-07-03	RL_J7HRL	A6AX	False	False	False
168	2021-07-03	RL_J7HRL	A7TZ	False	False	False
169	2021-07-03	RL_J7IKF	A9TM	False	False	False
170	2021-07-03	RL_J7L?V	A6LM			
171	2021-07-03	RL_J7L?V	A9UX			
172	2021-07-03	RL_J7LJ@	A9GF	False	False	False
173	2021-07-03	RL_J7NRA	A6IU	False	False	False
174	2021-07-03	RL_J7O?H	A9ZM	False	False	False
175	2021-07-03	RL_J7USQ	A6UE			
176	2021-07-03	RL_J8BI@	A7FB	False	False	False
177	2021-07-03	RL_J8BI@	A8DA	False	False	False
178	2021-07-03	RL_J8FWF	A5PN	False	False	False
179	2021-07-03	RL_J8FWF	A5PX	False	False	False
180	2021-07-03	RL_J8FWF	A8GY	False	False	False
181	2021-07-03	RL_J8FWF	A9BE	False	False	False
182	2021-07-03	RL_J8FWF	A9IX	False	False	False
183	2021-07-03	RL_J8FWF	A9RT	False	False	False
184	2021-07-03	RL_J8NCO	A5FV	False	False	False
185	2021-07-03	RL_J8NCO	A7BY	False	False	False
186	2021-07-03	RL_J;JQ>	A0YA	False	False	False
187	2021-07-03	RL_J;JQ>	A0YQ	False	False	False
188	2021-07-03	RL_J;L?K	A5BA	False	False	False
189	2021-07-03	RL_J;L?K	A9EK	False	False	False
190	2021-07-03	RL_J;LMO	A9AC	False	False	False
191	2021-07-03	RL_J;LMO	A9AG	False	False	False
192	2021-07-03	RL_J;LMO	A9AL	False	False	False
193	2021-07-03	RL_J;LMO	A9AW	False	False	False
194	2021-07-03	RL_J;LMO	A9HV	False	False	False
195	2021-07-03	RL_J;LMO	A9JF	False	False	False
196	2021-07-03	RL_J;LMO	A9JO	False	False	False
197	2021-07-03	RL_J;LMO	A9YO	False	False	False
198	2021-07-03	RL_J;LMO	A9ZD	False	False	False
199	2021-07-03	RL_J;UCM	A9PA	False	False	False
200	2021-07-03	RL_J;Z@L	A9EN	False	False	False
201	2021-07-03	RL_J;ZA>	A5AG			
202	2021-07-03	RL_J;ZA>	A5RA	False	False	False
203	2021-07-03	RL_J;ZA>	A5RB	False	False	False
204	2021-07-03	RL_J;ZA@	A5JE	False	False	False
205	2021-07-03	RL_J;ZA@	A8CU	False	False	False
206	2021-07-03	RL_J;ZAB	A5GA			
207	2021-07-03	RL_J;ZAE	A5GI	False	False	False
208	2021-07-03	RL_J;ZAE	A5YN	False	False	False
209	2021-07-03	RL_J;ZBB	A9QA	False	False	False
210	2021-07-03	RL_J;ZEL	A5KA	False	False	False
211	2021-07-03	RL_J;ZEL	A5ZO	False	False	False
212	2021-07-03	RL_J;ZEL	A9FK	False	False	False
213	2021-07-03	RL_J;ZEO	A5JG	False	False	False
214	2021-07-03	RL_J;ZEO	A9CV	False	False	False
215	2021-07-03	RL_J;ZEO	A9XZ	False	False	False
216	2021-07-03	RL_J;ZFR	A9AQ	False	False	False
217	2021-07-03	RL_J;ZFR	A9RA	False	False	False
218	2021-07-03	RL_J;ZGK	A9YG	False	False	False
219	2021-07-03	RL_J;ZIB	A5EI	False	False	False
220	2021-07-03	RL_J;ZIB	A9DT	False	False	False
221	2021-07-03	RL_J;ZIB	A9GU	False	False	False
222	2021-07-03	RL_J;ZIL	A9DX	False	False	False
223	2021-07-03	RL_J;ZIL	A9DY	False	False	False
224	2021-07-03	RL_J;ZIL	A9HO	False	False	False
225	2021-07-03	RL_J;ZIL	A9HY	False	False	False
226	2021-07-03	RL_J;ZIL	A9IY	False	False	False
227	2021-07-03	RL_J;ZIL	A9NY	False	False	False
228	2021-07-03	RL_J;ZIL	A9SY	False	False	False
229	2021-07-03	RL_J;ZIS	A9UL	False	False	False
230	2021-07-03	RL_J;ZIW	A5OJ	False	False	False
231	2021-07-03	RL_J;ZN>	A0BF	False	False	False
232	2021-07-03	RL_J;ZN>	A8EQ	False	False	False
233	2021-07-03	RL_J;ZN>	A8FQ	False	False	False
234	2021-07-03	RL_J;ZN>	A8OC	False	False	False
235	2021-07-03	RL_J;ZN>	A8OD	False	False	False
236	2021-07-03	RL_J;ZN>	A9HG	False	False	False
237	2021-07-03	RL_J;ZN>	A9LM	False	False	False
238	2021-07-03	RL_J;ZN>	A9MP	False	False	False
239	2021-07-03	RL_J;ZN>	A9PX	False	False	False
240	2021-07-03	RL_J;ZN>	A9UT	False	False	False
241	2021-07-03	RL_J;ZN>	A9XA	False	False	False
242	2021-07-03	RL_J;ZNL	A9OG	False	False	False
243	2021-07-03	RL_J;ZPF	A5AZ	False	False	False
244	2021-07-03	RL_J;ZRL	Z8QA	False	False	False
245	2021-07-03	RL_J;ZRL	Z8QB	False	False	False
246	2021-07-03	RL_J;ZSH	A5EJ	False	False	False
247	2021-07-03	RL_J;ZSH	A5ZC	False	False	False
248	2021-07-03	RL_J;ZSH	A5ZF	False	False	False
249	2021-07-03	RL_J;ZW?	A5NY	False	False	False
250	2021-07-03	RL_J;ZW?	A5TB	False	False	False
251	2021-07-03	RL_J;ZW?	A5ZB	False	False	False
252	2021-07-03	RL_J=MKQ	A9SP	False	False	False
253	2021-07-03	RL_JEEMV	A6AT			
254	2021-07-03	RL_JEHMP	A8OK			
255	2021-07-03	RL_JET?P	A6EK			
256	2021-07-03	RL_JET@P	A6TA			
257	2021-07-03	RL_JETEM	A5GP			
258	2021-07-03	RL_JETEM	A5IR			
259	2021-07-03	RL_JETEM	A6GR			
260	2021-07-03	RL_JETGV	A6FW			
261	2021-07-03	RL_JETIV	A4XM			
262	2021-07-03	RL_JETKO	A8HB			
263	2021-07-03	RL_JETKO	A8KF			
264	2021-07-03	RL_JETQ@	A6LC			
265	2021-07-03	RL_JETR>	A4MX			
266	2021-07-03	RL_JETRM	A8KO			
267	2021-07-03	RL_JETWB	A6DE			
268	2021-07-03	RL_JETWB	A6LE			
269	2021-07-03	RL_JE[IM	A9EB	False	False	False
270	2021-07-03	RL_JE[IM	A9TR	False	False	False
271	2021-07-03	RL_JHI?K	A4YC	False	False	False
272	2021-07-03	RL_JHI?K	A9BN	False	False	False
273	2021-07-03	RL_JHIWB	A4YD	False	False	False
274	2021-07-03	RL_JHIWB	A9QI	False	False	False
275	2021-07-03	RL_JIUKQ	A6EL			
276	2021-07-03	RL_JKCRR	A8BV	False	False	False
277	2021-07-03	RL_JKM@@	A4SF	False	False	False
278	2021-07-03	RL_JKMIC	A5GC	False	False	False
279	2021-07-03	RL_JKMID	A5ID	False	False	False
280	2021-07-03	RL_JKOGW	A8EC	False	False	False
281	2021-07-03	RL_JKOGW	A8FA	False	False	False
282	2021-07-03	RL_JKOGW	A8IB	False	False	False
283	2021-07-03	RL_JKOGW	A8UI	False	False	False
284	2021-07-03	RL_JKOGW	A9FU	False	False	False
285	2021-07-03	RL_JKOGW	A9IS	False	False	False
286	2021-07-03	RL_JKUPQ	A1UT	False	False	False
287	2021-07-03	RL_JKUPQ	A2AZ	False	False	False
288	2021-07-03	RL_JKUPQ	A2FR	False	False	False
289	2021-07-03	RL_JKUPQ	A7TH	False	False	False
290	2021-07-03	RL_JKUPQ	A8AJ	False	False	False
291	2021-07-03	RL_JKUPQ	A8FO	False	False	False
292	2021-07-03	RL_JKZKV	A8AF	False	False	False
293	2021-07-03	RL_JKZKV	A8DM	False	False	False
294	2021-07-03	RL_JKZKV	A8IF	False	False	False
295	2021-07-03	RL_JKZKV	A8IN	False	False	False
296	2021-07-03	RL_JKZKV	A8IU	False	False	False
297	2021-07-03	RL_JKZKV	A8RG	True	False	False
298	2021-07-03	RL_JOBBF	A8NI	False	False	False
299	2021-07-03	RL_JOBJJ	A9KH	False	False	False
300	2021-07-03	RL_JOD?K	A1TU	False	False	False
301	2021-07-03	RL_JODGD	A9TG	False	False	False
302	2021-07-03	RL_JON?O	A5IE	False	False	False
303	2021-07-03	RL_JON?P	A9CT	False	False	False
304	2021-07-03	RL_JON?P	A9TD	False	False	False
305	2021-07-03	RL_JON?P	A9TU	False	False	False
306	2021-07-03	RL_JON?P	A9UG	False	False	False
307	2021-07-03	RL_JON?P	A9XP	False	False	False
308	2021-07-03	RL_JOTCV	A9CO	False	False	False
309	2021-07-03	RL_JOTCV	A9EZ	False	False	False
310	2021-07-03	RL_JOTCV	A9FJ	False	False	False
311	2021-07-03	RL_JOTCV	A9IB	False	False	False
312	2021-07-03	RL_JOTCV	A9IG	False	False	False
313	2021-07-03	RL_JOTCV	A9JN	False	False	False
314	2021-07-03	RL_JOTCV	A9MQ	False	False	False
315	2021-07-03	RL_JOTCV	A9MR	False	False	False
316	2021-07-03	RL_JOTCV	A9NU	False	False	False
317	2021-07-03	RL_JOTCV	A9OJ	False	False	False
318	2021-07-03	RL_JOTCV	A9OU	False	False	False
319	2021-07-03	RL_JOTCV	A9RY	False	False	False
320	2021-07-03	RL_JOTCV	A9VB	False	False	False
321	2021-07-03	RL_K7CSH	A8ID			
322	2021-07-03	RL_K7CSH	A8IE			
323	2021-07-03	RL_K7D?O	A5KR	False	False	False
324	2021-07-03	RL_K7D?O	A9AE	False	False	False
325	2021-07-03	RL_K7D?O	A9DR	False	False	False
326	2021-07-03	RL_K7D?O	A9ET	False	False	False
327	2021-07-03	RL_K7D?O	A9EU	False	False	False
328	2021-07-03	RL_K7D?O	A9GQ	False	False	False
329	2021-07-03	RL_K7EGP	A6ZR			
330	2021-07-03	RL_K7EIR	A4ID			
331	2021-07-03	RL_K7EKV	A7HD			
332	2021-07-03	RL_K7EN>	A6BM			
333	2021-07-03	RL_K7EN>	A6DM			
334	2021-07-03	RL_K7EN>	A6FR			
335	2021-07-03	RL_K7EQE	A4MA			
336	2021-07-03	RL_K7ET>	A8RA			
337	2021-07-03	RL_K7N@R	A4YE	False	False	False
338	2021-07-03	RL_K7N@R	A8DZ	False	False	False
339	2021-07-03	RL_K7N@V	A4TK	False	False	False
340	2021-07-03	RL_K7NAR	A2JH			
341	2021-07-03	RL_K7NRK	A6SR	False	False	False
342	2021-07-03	RL_K7QGQ	A4ZQ	False	False	False
343	2021-07-03	RL_K7QGQ	A4ZX	False	False	False
344	2021-07-03	RL_K7QGQ	A5BI	False	False	False
345	2021-07-03	RL_K7QGQ	A5JU	False	False	False
346	2021-07-03	RL_K7QGQ	A9IP	False	False	False
347	2021-07-03	RL_K7QGQ	A9PS	False	False	False
348	2021-07-03	RL_K7T?O	A4SI			
349	2021-07-03	RL_K7UKP	A5NA			
350	2021-07-03	RL_K7WD>	A6NB	False	False	False
351	2021-07-03	RL_K7WIP	A5IG	False	False	False
352	2021-07-03	RL_K7WQ>	A8LN	False	False	False
353	2021-07-03	RL_K;CMI	A0IS	False	False	False
354	2021-07-03	RL_K;CMI	A8SY	False	False	False
355	2021-07-03	RL_K;I?J	A8ZT	False	False	False
356	2021-07-03	RL_K;LKV	A5TK	False	False	False
357	2021-07-03	RL_K;LLC	A9HZ	False	False	False
358	2021-07-03	RL_K;LLQ	A5PO	False	False	False
359	2021-07-03	RL_K;LPL	A9ZL	False	False	False
360	2021-07-03	RL_K;LQF	A6LT	False	False	False
361	2021-07-03	RL_K;LQF	A8AD	False	False	False
362	2021-07-03	RL_K;LQF	A8TZ	False	False	False
363	2021-07-03	RL_K;LQF	A8YK	False	False	False
364	2021-07-03	RL_K;LT?	A4NU	False	False	False
365	2021-07-03	RL_K;LT?	A5AI	False	False	False
366	2021-07-03	RL_K;LT?	A7AU	False	False	False
367	2021-07-03	RL_K;LT?	A9XW	False	False	False
368	2021-07-03	RL_K;ODR	A5GJ	False	False	False
369	2021-07-03	RL_K;ODR	A9GO	False	False	False
370	2021-07-03	RL_K;OEA	A5OC	False	False	False
371	2021-07-03	RL_K;OQE	A4EX	False	False	False
372	2021-07-03	RL_K;OQE	A5BX	False	False	False
373	2021-07-03	RL_K;OQE	A9FZ	False	False	False
374	2021-07-03	RL_K;OW?	A9PC	False	False	False
375	2021-07-03	RL_K;W@R	A7UW	False	False	False
376	2021-07-03	RL_K;WA?	A2GR	False	False	False
377	2021-07-03	RL_K;WA?	A2PY	False	False	False
378	2021-07-03	RL_K;WA?	A8AQ	False	False	False
379	2021-07-03	RL_K;WA?	A8TH	False	False	False
380	2021-07-03	RL_K;WA@	A7CV	False	False	False
381	2021-07-03	RL_K;WIV	A1QT	False	False	False
382	2021-07-03	RL_K;WR>	A7CJ	False	False	False
383	2021-07-03	RL_K=LMV	A9CP	False	False	False
384	2021-07-03	RL_K=LMV	A9NC	False	False	False
385	2021-07-03	RL_KABE>	A6TL	False	False	False
386	2021-07-03	RL_KAD?J	A8YS	False	False	False
387	2021-07-03	RL_KAD?S	A5KT	False	False	False
388	2021-07-03	RL_KATKQ	A6VK	False	False	False
389	2021-07-03	RL_KC[RQ	A8HE			
390	2021-07-03	RL_KDHA>	A9ZF	False	False	False
391	2021-07-03	RL_KJMRM	A0AY	False	False	False
392	2021-07-03	RL_KJMRM	A0AZ	False	False	False
393	2021-07-03	RL_KJMRM	A0QY	False	False	False
394	2021-07-03	RL_KJMRM	A5TO	False	False	False
395	2021-07-03	RL_KJMRM	A5XI	False	False	False
396	2021-07-03	RL_KJMRM	A5XJ	False	False	False
397	2021-07-03	RL_KJMRM	A5YV	False	False	False
398	2021-07-03	RL_KJMRM	A6AV	False	False	False
399	2021-07-03	RL_KJMRM	A9WB	False	False	False
400	2021-07-03	RL_KKNCO	A9DP	False	False	False
401	2021-07-03	RL_KKNCO	A9EA	False	False	False
402	2021-07-03	RL_KKNCO	A9EH	False	False	False
403	2021-07-03	RL_KKNCO	A9EJ	False	False	False
404	2021-07-03	RL_KKNCO	A9GV	False	False	False
405	2021-07-03	RL_KKNCO	A9ME	False	False	False
406	2021-07-03	RL_KKNCO	A9NF	False	False	False
407	2021-07-03	RL_KKNCO	A9TE	False	False	False
408	2021-07-03	RL_KKNCO	A9VX	False	False	False
409	2021-07-03	RL_KKNCO	A9YR	False	False	False
410	2021-07-03	RL_KLSMK	A6KG	False	False	False
411	2021-07-03	RL_KMBTO	A7WG	False	False	False
412	2021-07-03	RL_KMLM0	A9MA	False	False	False
413	2021-07-03	RL_KMPPE	A8PG	False	False	False
414	2021-07-03	RL_L=SKK	A0ZS			
415	2021-07-03	RL_LHOCP	A6YW	False	False	False
416	2021-07-03	RL_LHUCH	A8SN	False	False	False
417	2021-07-03	RL_LKBBB	A5MX	False	False	False
418	2021-07-03	RL_LKBBB	A8LY	False	False	False
419	2021-07-03	RL_LKBJK	A5VE	False	False	False
420	2021-07-03	RL_LKBJK	A6PY	False	False	False
421	2021-07-03	RL_LKBRP	A5XE	False	False	False
422	2021-07-03	RL_LKDCJ	A7UA	False	False	False
423	2021-07-03	RL_LKDI>	A9IZ	False	False	False
424	2021-07-03	RL_LKE?P	A8RX	False	False	False
425	2021-07-03	RL_LKE@L	A5WE	False	False	False
426	2021-07-03	RL_LKE@P	A5IA	False	False	False
427	2021-07-03	RL_LKEAV	A5SK	False	False	False
428	2021-07-03	RL_LKEEV	A4CU	False	False	False
429	2021-07-03	RL_LKEII	A0HX	False	False	False
430	2021-07-03	RL_LKEII	A0NZ	False	False	False
431	2021-07-03	RL_LKEII	A0QZ	False	False	False
432	2021-07-03	RL_LKEII	A5MY	False	False	False
433	2021-07-03	RL_LKEII	A7EZ	False	False	False
434	2021-07-03	RL_LKEIR	A5UE	False	False	False
435	2021-07-03	RL_LKEKL	A5YP	False	False	False
436	2021-07-03	RL_LKERB	A5HA	False	False	False
437	2021-07-03	RL_LKESJ	A0DB	False	False	False
438	2021-07-03	RL_LKESJ	A2ST	False	False	False
439	2021-07-03	RL_LKESJ	A5AC	False	False	False
440	2021-07-03	RL_LKESJ	A5AL	False	False	False
441	2021-07-03	RL_LKESJ	A5AY	False	False	False
442	2021-07-03	RL_LKESJ	A5VP	False	False	False
443	2021-07-03	RL_LKESJ	A5WP	False	False	False
444	2021-07-03	RL_LKESJ	A6BF	False	False	False
445	2021-07-03	RL_LKEWB	A2EB	False	False	False
446	2021-07-03	RL_LKEWB	A2FB	False	False	False
447	2021-07-03	RL_LKEWB	A5PY	False	False	False
448	2021-07-03	RL_LKI?Q	A6PS	False	False	False
449	2021-07-03	RL_LKI?V	A5CA	False	False	False
450	2021-07-03	RL_LKI?V	A5CD	False	False	False
451	2021-07-03	RL_LKJIR	A5LI	False	False	False
452	2021-07-03	RL_LKL?S	A6HU	False	False	False
453	2021-07-03	RL_LKL?S	A6XC	False	False	False
454	2021-07-03	RL_LKLCJ	A6KV	False	False	False
455	2021-07-03	RL_LKLCO	A5DC	False	False	False
456	2021-07-03	RL_LKNMA	A5KH	False	False	False
457	2021-07-03	RL_LKNRD	A5EU	False	False	False
458	2021-07-03	RL_LKNRD	A5MV	False	False	False
459	2021-07-03	RL_LKO?Q	A2BE	False	False	False
460	2021-07-03	RL_LKO?Q	A2BF	False	False	False
461	2021-07-03	RL_LKO?Q	A5AH	False	False	False
462	2021-07-03	RL_LKO?Q	A5EV	False	False	False
463	2021-07-03	RL_LKO?Q	A5EW	False	False	False
464	2021-07-03	RL_LKO?Q	A5EX	False	False	False
465	2021-07-03	RL_LKO?Q	A5HK	False	False	False
466	2021-07-03	RL_LKO?Q	A6HK	False	False	False
467	2021-07-03	RL_LKO?Q	A6JS	False	False	False
468	2021-07-03	RL_LKO?Q	A6SC	False	False	False
469	2021-07-03	RL_LKU?K	A2RZ	False	False	False
470	2021-07-03	RL_LKU?K	A4JB	False	False	False
471	2021-07-03	RL_LKU?K	A5IL	False	False	False
472	2021-07-03	RL_LKU?K	A6AR	False	False	False
473	2021-07-03	RL_LKU?K	A6TB	False	False	False
474	2021-07-03	RL_LKU?K	A7FZ	False	False	False
475	2021-07-03	RL_LKU?K	A8MS	False	False	False
476	2021-07-03	RL_LKU?K	A8TP	False	False	False
477	2021-07-03	RL_LKUCD	A6IZ	False	False	False
478	2021-07-03	RL_LKUCH	A0XH	False	False	False
479	2021-07-03	RL_LKZCP	A5GE	False	False	False
480	2021-07-03	RL_MATGL	A0ET			
481	2021-07-03	RL_MATGL	A0KB			
482	2021-07-03	RL_MATGL	A6AG			
483	2021-07-03	RL_MBN?I	A2IA	False	False	False
484	2021-07-03	RL_MBN?I	A5AK	False	False	False
485	2021-07-03	RL_MBN?I	A5AR	False	False	False
486	2021-07-03	RL_MBN?I	A5BR	False	False	False
487	2021-07-03	RL_MBN?I	A5CO	False	False	False
488	2021-07-03	RL_MBN?I	A5CZ	False	False	False
489	2021-07-03	RL_MBN?I	A5FZ	False	False	False
